year,Qa,ID,country
1956,19241.13333,BD_0000001,BD
1957,18646.41667,BD_0000001,BD
1958,21614.28333,BD_0000001,BD
1959,17886.66667,BD_0000001,BD
1960,18555.63333,BD_0000001,BD
1961,18944.38333,BD_0000001,BD
1962,18858.125,BD_0000001,BD
1963,18644.68333,BD_0000001,BD
1964,19483.73333,BD_0000001,BD
1965,18549.45,BD_0000001,BD
1966,22524.18333,BD_0000001,BD
1967,18950.21667,BD_0000001,BD
1968,18566.88333,BD_0000001,BD
1969,17336.41667,BD_0000001,BD
1970,21717.75833,BD_0000001,BD
1971,,BD_0000001,BD
1972,17725.97981,BD_0000001,BD
1973,17996.78333,BD_0000001,BD
1974,21787.45,BD_0000001,BD
1975,18133.68333,BD_0000001,BD
1976,17529.7,BD_0000001,BD
1977,23300.00833,BD_0000001,BD
1978,18376.70833,BD_0000001,BD
1979,20730.85,BD_0000001,BD
1980,19372.26667,BD_0000001,BD
1981,17334.725,BD_0000001,BD
1982,17539.79167,BD_0000001,BD
1983,18856.45,BD_0000001,BD
1984,20760.98333,BD_0000001,BD
1985,19602.94167,BD_0000001,BD
1986,16266.45833,BD_0000001,BD
1987,21508.90833,BD_0000001,BD
1988,23895.575,BD_0000001,BD
1989,25856.01667,BD_0000001,BD
1990,27261.28333,BD_0000001,BD
1991,26862.74167,BD_0000001,BD
1992,20139.14167,BD_0000001,BD
1993,22361.21667,BD_0000001,BD
1994,16980.90833,BD_0000001,BD
1995,21646.45,BD_0000001,BD
1996,21966.175,BD_0000001,BD
1997,18701.55833,BD_0000001,BD
1998,25914.125,BD_0000001,BD
1999,21140.35,BD_0000001,BD
2000,24166.29167,BD_0000001,BD
2001,18470.45833,BD_0000001,BD
2002,18584.38333,BD_0000001,BD
2003,20832.24167,BD_0000001,BD
2004,21526.48333,BD_0000001,BD
2005,18456.85833,BD_0000001,BD
2006,16575.88824,BD_0000001,BD
1963,119.4625,ID_0000024,ID
1964,156.0575,ID_0000024,ID
1965,158.7858333,ID_0000024,ID
1966,169.5175,ID_0000024,ID
1967,136.765,ID_0000024,ID
1968,214.5658333,ID_0000024,ID
1969,183.1125,ID_0000024,ID
1970,214.2416667,ID_0000024,ID
1971,192.78,ID_0000024,ID
1972,147.0841667,ID_0000024,ID
1973,228.8466667,ID_0000024,ID
1974,205.4933333,ID_0000024,ID
1975,215.7408333,ID_0000024,ID
1976,139.1141667,ID_0000024,ID
1977,175.2983333,ID_0000024,ID
1978,224.4325,ID_0000024,ID
1979,200.6816667,ID_0000024,ID
1980,165.6191667,ID_0000024,ID
1981,167.0716667,ID_0000024,ID
1982,132.14,ID_0000024,ID
1983,171.99,ID_0000024,ID
1984,223.2575,ID_0000024,ID
1985,171.2641667,ID_0000024,ID
1986,217.1925,ID_0000024,ID
1987,146.32,ID_0000024,ID
1988,145.0675,ID_0000024,ID
1989,172.2025,ID_0000024,ID
1990,149.6933333,ID_0000024,ID
1991,149.1458333,ID_0000024,ID
1992,258.5575,ID_0000024,ID
1993,230.2758333,ID_0000024,ID
1994,173.7441667,ID_0000024,ID
1995,201.8891667,ID_0000024,ID
1996,220.4366667,ID_0000024,ID
1997,117.0983333,ID_0000024,ID
1998,244.43,ID_0000024,ID
1999,183.1208333,ID_0000024,ID
2000,157.4691667,ID_0000024,ID
2001,227.2083333,ID_0000024,ID
2002,176.2741667,ID_0000024,ID
2003,136.9991667,ID_0000024,ID
2004,150.1433333,ID_0000024,ID
2005,183.8583333,ID_0000024,ID
2006,121.4075,ID_0000024,ID
1966,,IN_0000062,IN
1967,552.2333699,IN_0000062,IN
1968,320.0453251,IN_0000062,IN
1969,799.5556055,IN_0000062,IN
1970,893.3345068,IN_0000062,IN
1971,269.3919616,IN_0000062,IN
1972,90.54287432,IN_0000062,IN
1973,591.1060164,IN_0000062,IN
1974,211.9365562,IN_0000062,IN
1975,951.8130849,IN_0000062,IN
1976,540.7869891,IN_0000062,IN
1977,252.5585589,IN_0000062,IN
1978,467.0279753,IN_0000062,IN
1979,243.8275315,IN_0000062,IN
1980,407.6484699,IN_0000062,IN
1981,353.0768192,IN_0000062,IN
1982,134.9729479,IN_0000062,IN
1983,1432.003058,IN_0000062,IN
1984,78.02156011,IN_0000062,IN
1985,71.33351507,IN_0000062,IN
1986,151.015663,IN_0000062,IN
1987,52.72588219,IN_0000062,IN
1988,1122.951508,IN_0000062,IN
1989,703.4408959,IN_0000062,IN
1990,915.314126,IN_0000062,IN
1991,241.6255397,IN_0000062,IN
1992,150.418888,IN_0000062,IN
1993,97.70477534,IN_0000062,IN
1994,115.957211,IN_0000062,IN
1995,301.3760959,IN_0000062,IN
1996,202.8185956,IN_0000062,IN
1997,62.65161918,IN_0000062,IN
1998,493.3934849,IN_0000062,IN
1999,197.425526,IN_0000062,IN
2000,358.7785246,IN_0000062,IN
2001,126.193337,IN_0000062,IN
2002,88.58721096,IN_0000062,IN
2003,105.5577671,IN_0000062,IN
2004,10.43587252,IN_0000062,IN
2005,348.9830411,IN_0000062,IN
2006,477.2071425,IN_0000062,IN
2007,37.74816164,IN_0000062,IN
2008,78.65136888,IN_0000062,IN
2009,18.33766301,IN_0000062,IN
2010,,IN_0000062,IN
2011,89.19573151,IN_0000062,IN
2012,67.16597814,IN_0000062,IN
1965,,IN_0000074,IN
1966,124.1172493,IN_0000074,IN
1967,173.087526,IN_0000074,IN
1968,119.1705355,IN_0000074,IN
1969,162.4955425,IN_0000074,IN
1970,145.7181151,IN_0000074,IN
1971,110.730811,IN_0000074,IN
1972,120.3679454,IN_0000074,IN
1973,147.0442849,IN_0000074,IN
1974,64.28324932,IN_0000074,IN
1975,149.057211,IN_0000074,IN
1976,150.7229563,IN_0000074,IN
1977,167.6893205,IN_0000074,IN
1978,189.1768164,IN_0000074,IN
1979,121.9461671,IN_0000074,IN
1980,164.4250765,IN_0000074,IN
1981,97.15486027,IN_0000074,IN
1982,95.21368767,IN_0000074,IN
1983,106.0132411,IN_0000074,IN
1984,145.996347,IN_0000074,IN
1985,142.6601425,IN_0000074,IN
1986,120.3738712,IN_0000074,IN
1987,70.91410959,IN_0000074,IN
1988,82.8440765,IN_0000074,IN
1989,116.5873671,IN_0000074,IN
1990,225.9182712,IN_0000074,IN
1991,153.3895945,IN_0000074,IN
1992,140.7367923,IN_0000074,IN
1993,99.23369589,IN_0000074,IN
1994,187.653463,IN_0000074,IN
1995,120.5261425,IN_0000074,IN
1996,69.76906011,IN_0000074,IN
1997,95.33114247,IN_0000074,IN
1998,51.21626027,IN_0000074,IN
1999,84.03791507,IN_0000074,IN
2000,63.76259016,IN_0000074,IN
2001,121.2183918,IN_0000074,IN
2002,37.12100274,IN_0000074,IN
2003,102.3846137,IN_0000074,IN
2004,75.59421585,IN_0000074,IN
2005,56.86241644,IN_0000074,IN
2006,112.4078411,IN_0000074,IN
2007,98.71607945,IN_0000074,IN
2008,60.10659836,IN_0000074,IN
2009,42.50509315,IN_0000074,IN
2010,89.22036438,IN_0000074,IN
2011,40.14398904,IN_0000074,IN
2012,76.72908197,IN_0000074,IN
1965,,IN_0000075,IN
1966,64.04624932,IN_0000075,IN
1967,99.01873151,IN_0000075,IN
1968,93.92724317,IN_0000075,IN
1969,114.6220137,IN_0000075,IN
1970,112.9075342,IN_0000075,IN
1971,87.50455068,IN_0000075,IN
1972,85.41762022,IN_0000075,IN
1973,121.8563315,IN_0000075,IN
1974,52.61596986,IN_0000075,IN
1975,88.66828767,IN_0000075,IN
1976,99.94949727,IN_0000075,IN
1977,126.8341342,IN_0000075,IN
1978,138.3595151,IN_0000075,IN
1979,75.78933973,IN_0000075,IN
1980,116.7364317,IN_0000075,IN
1981,80.01090411,IN_0000075,IN
1982,78.3828,IN_0000075,IN
1983,77.76568219,IN_0000075,IN
1984,125.865347,IN_0000075,IN
1985,100.2494986,IN_0000075,IN
1986,92.01892055,IN_0000075,IN
1987,64.12523562,IN_0000075,IN
1988,56.13575956,IN_0000075,IN
1989,87.62747123,IN_0000075,IN
1990,177.1529014,IN_0000075,IN
1991,128.8232849,IN_0000075,IN
1992,119.7776967,IN_0000075,IN
1993,90.1802274,IN_0000075,IN
1994,184.309874,IN_0000075,IN
1995,111.2734849,IN_0000075,IN
1996,49.33795902,IN_0000075,IN
1997,102.5106219,IN_0000075,IN
1998,40.84358904,IN_0000075,IN
1999,45.18276712,IN_0000075,IN
2000,50.8544071,IN_0000075,IN
