region,basin,river,name,ID,long,lat,country,code
CN,Yangtze,Huai He,Bengbu,CN_0000181,117.38,32.93,CN,3CN01
CN,Yangtze,Yangtze,Cuntan,CN_0000190,106.6,29.36,CN,3CN02
CN,Yangtze,Yangtze,Wulong,CN_0000194,107.76,29.322,CN,3CN03
CN,Yangtze,Yangtze,Wanxian,CN_0000193,108.424,30.765,CN,3CN04
CN,Yangtze,Yangtze,Yichang,CN_0000195,111.2833,30.7,CN,3CN05
CN,Yangtze,Yangtze,Luoshan,CN_0000192,113.3667,29.6667,CN,3CN06
CN,Yangtze,Yangtze,Hankou,CN_0000191,114.2833,30.5833,CN,3CN07
CN,Yangtze,Yangtze,Datong,CN_0000180,117.62,30.77,CN,3CN08
CN,Pearl,Dong Jiang,Boluo,CN_0000189,114.3,23.17,CN,3CN09
SEA,Mekong,Mekong,Chiang Saen,TH_0000134,100.0833,20.2733,TH,5SEA01
SEA,Mekong,Mekong,Luang Prabang,LA_0000002,102.1367,19.8917,LA,5SEA02
SEA,Mekong,Nam Khan,Ban Mixay,LA_0000001,102.1767,19.7867,LA,5SEA03
SEA,Mekong,Mekong,Vientiane,LA_0000005,102.62,17.9283,LA,5SEA04
SEA,Mekong,Mekong,Nakhon Phanom,TH_0000154,104.8033,17.3983,TH,5SEA05
SEA,Mekong,Mekong,Thakhek,LA_0000007,104.8067,17.3933,LA,5SEA06
SEA,Mekong,Mekong,Savannakhet,LA_0000016,105.747,16.562,LA,5SEA07
SEA,Mekong,Mekong,Mukdahan,TH_0000156,104.7367,16.54,TH,5SEA08
SEA,Mekong,Nam Mun,Ubon,TH_0000163,104.8617,15.2217,TH,5SEA09
SEA,Mekong,Mekong,Pakse,LA_0000014,105.8,15.1167,LA,5SEA10
SEA,Mekong,Mekong,Stung Treng,KH_0000004,105.945,13.533,KH,5SEA11
SEA,Mekong,Mekong,Kompong Cham,KH_0000002,105.465,11.995,KH,5SEA12
