ID,QV,region
BD_0000001,635565.065747472,SA
CN_0000180,904231.123685848,CN
CN_0000181,27565.7870233292,CN
CN_0000189,23437.2894400782,CN
CN_0000190,351336.446383684,CN
CN_0000191,708572.962419772,CN
CN_0000192,635761.882231883,CN
CN_0000194,48812.6845104886,CN
CN_0000195,441219.421719302,CN
ID_0000024,5644.8412691148,SEA
IN_0000028,12136.2991974049,SA
IN_0000036,31945.3518204804,SA
IN_0000061,68765.5946339672,SA
IN_0000067,4929.9857808694,SA
IN_0000071,22588.3010383779,SA
IN_0000073,8391.34766188905,SA
IN_0000074,3551.07110528313,SA
IN_0000082,4320.0793246741,SA
IN_0000098,85850.4357075551,SA
IN_0000099,14499.4105176575,SA
IN_0000117,4653.60491338438,SA
IN_0000169,2535.35311167062,SA
IN_0000176,6430.38150134119,SA
IN_0000234,20763.1787186539,SA
IN_0000243,4303.45114160028,SA
IN_0000253,6606.62756708094,SA
IN_0000315,11441.4071333924,SA
JP_0000367,6670.7572023163,EA
JP_0000446,2997.05869115386,EA
JP_0000759,1634.18600864084,EA
JP_0000996,2779.87087204269,EA
JP_0001014,3365.67810976919,EA
JP_0001023,1930.88321744112,EA
KG_0000005,11776.858285406,WA
KH_0000002,455277.745105817,SEA
KH_0000004,412737.511286765,SEA
KR_0000006,2221.4180769069,EA
KZ_0000002,9418.40856934387,CA
LA_0000001,3051.31540284787,SEA
LA_0000002,122943.047488238,SEA
LA_0000005,141218.863061095,SEA
LA_0000014,311302.429680614,SEA
MN_0000002,1571.39044234882,CA
PH_0000006,2002.32909714953,SEA
PK_0000001,33896.5706754676,WA
RU_0000036,259759.907863241,EA
RU_0000043,29832.5244791489,CA
RU_0000054,33224.1594522426,CA
RU_0000397,8261.76473528229,CA
RU_0000398,3997.29501037774,CA
RU_0000400,3414.43899632457,CA
RU_0000401,3011.67131054272,CA
RU_0000408,8571.77823241274,CA
RU_0000411,23791.645146476,CA
TH_0000003,2905.02078110409,SEA
TH_0000041,1805.16428569231,SEA
TH_0000134,84770.7004266731,SEA
TH_0000154,233933.473158364,SEA
TH_0000156,245407.677210545,SEA
TH_0000163,20176.5406520837,SEA
TH_0000178,22979.3928571206,SEA
TJ_0000003,10224.8955807091,WA
