ID,resVol
CN_0000180,78112.3
CN_0000181,13294.5
CN_0000189,16795.6
CN_0000190,24422.1
CN_0000191,55814.9
CN_0000192,35549.7
CN_0000194,21358.4
CN_0000195,11628.3
JP_0000018,122.4
JP_0000167,17.4
JP_0000367,17.4
JP_0000446,679.5
JP_0000996,123
JP_0001014,65.7
TH_0000163,638
KH_0000004,13302.3
KH_0000002,12362.3
TH_0000154,7260.9
LA_0000014,12251.3
TH_0000156,7884.8
LA_0000005,1912.9
LA_0000002,1912.9
TH_0000134,1912.9
RU_0000036,84511.1
KG_0000005,188
TH_0000178,18210.3
TH_0000041,265
IN_0000075,2300
IN_0000074,2300
IN_0000099,4443.8
IN_0000117,3182.3
ID_0000024,1848
BD_0000001,197
