ID,resVol
CN_0000180,165532.1
CN_0000181,13294.5
CN_0000189,16795.6
CN_0000190,24422.1
CN_0000191,141907.7
CN_0000192,116406.8
CN_0000194,21358.4
CN_0000195,71572.8
JP_0000367,17.4
JP_0000446,679.5
JP_0000996,123
JP_0001014,65.7
TH_0000163,638
KH_0000004,13302.3
KH_0000002,12362.3
TH_0000154,7260.9
LA_0000014,12251.3
TH_0000156,7884.8
LA_0000005,1912.9
LA_0000002,1912.9
TH_0000134,1912.9
RU_0000036,84511.1
KG_0000005,188
TH_0000178,18210.3
TH_0000041,265
IN_0000028,4001.2
IN_0000036,15713.6
IN_0000061,20687.8
IN_0000067,1215
IN_0000071,2300
IN_0000073,2300
IN_0000074,2300
IN_0000082,1335.1
IN_0000098,26666.4
IN_0000099,4443.8
IN_0000117,3182.3
IN_0000175,3363.9
IN_0000176,3261.7
IN_0000234,6301.7
IN_0000243,3416
IN_0000253,2012.6
ID_0000024,1848
BD_0000001,197
