ID,year,Q,Ql,Qu
BD_0000001,1200,19396.0677509004,17017.3543845828,22107.2815254028
BD_0000001,1201,17603.9214289035,15439.636971869,20071.5891338403
BD_0000001,1202,19451.6858503426,17057.8950296129,22181.4052533191
BD_0000001,1203,19607.1688051008,17193.3134086343,22359.9174524821
BD_0000001,1204,19357.7150201408,16974.2070420576,22075.9137597722
BD_0000001,1205,21205.042505923,18593.916576524,24182.8463533992
BD_0000001,1206,21352.793557501,18723.4114028092,24351.4273601256
BD_0000001,1207,21630.1517205501,18966.5906194008,24667.7683323562
BD_0000001,1208,20700.5085354015,18151.4152490693,23607.5836371052
BD_0000001,1209,24122.5373182124,21152.0456359181,27510.1905831953
BD_0000001,1210,22570.3046335544,19790.955997416,25739.9719001931
BD_0000001,1211,22612.6854904272,19828.1173572693,25788.3053582751
BD_0000001,1212,21886.1460695795,19191.0451062991,24959.7344556157
BD_0000001,1213,23530.6625422475,20633.0526403494,26835.1992954423
BD_0000001,1214,20625.189974507,18085.3653757968,23521.6957271875
BD_0000001,1215,18142.371001662,15908.285377963,20690.2012216788
BD_0000001,1216,19622.4177654755,17206.0763994248,22378.098877657
BD_0000001,1217,20867.7883540109,18298.0897131613,23798.3635239572
BD_0000001,1218,18985.6105489145,16647.6868162909,21651.8614203101
BD_0000001,1219,20376.0599539074,17866.9136703356,23237.5790752579
BD_0000001,1220,20369.7863707863,17861.4126278837,23230.4244594697
BD_0000001,1221,20172.10538549,17688.0744502573,23004.9820757846
BD_0000001,1222,21552.681558118,18898.6438805958,24579.4399471479
BD_0000001,1223,20075.6384884984,17603.4866680721,22894.9678163397
BD_0000001,1224,19623.3223159853,17206.8695583741,22379.1304636027
BD_0000001,1225,20024.6793755714,17558.8027559947,22836.8522425331
BD_0000001,1226,20604.7992634967,18067.4855916024,23498.4414702579
BD_0000001,1227,19798.6632862507,17360.6187123132,22579.0955044887
BD_0000001,1228,21287.5390860562,18666.1515503993,24277.0620991061
BD_0000001,1229,21276.4896064121,18656.4627244267,24264.4608819153
BD_0000001,1230,21098.4081696239,18500.3105701564,24061.3705161324
BD_0000001,1231,20285.1318986991,17787.1826663599,23133.8815070386
BD_0000001,1232,19982.9237710207,17522.1890149939,22789.2326750226
BD_0000001,1233,19442.9102200531,17048.673746701,22173.3821317447
BD_0000001,1234,19664.6752303192,17243.1301971845,22426.2907889584
BD_0000001,1235,21433.4266250837,18794.0742239311,24443.4374058121
BD_0000001,1236,21373.5494939158,18741.5704751293,24375.151408741
BD_0000001,1237,19569.3590717157,17159.551449331,22317.5888722122
BD_0000001,1238,19126.4010375722,16771.1400992748,21812.4238712824
BD_0000001,1239,19707.7721066881,17280.9200432724,22475.4399902661
BD_0000001,1240,17508.2043660093,15352.2112044111,19966.9751829541
BD_0000001,1241,18722.0422131838,16416.5747798049,21351.2787736591
BD_0000001,1242,19134.0643624182,16777.8597479095,21821.1633978393
BD_0000001,1243,20762.6685657922,18205.9145715743,23678.4812033564
BD_0000001,1244,19609.5747543219,17194.8148972662,22363.4522583012
BD_0000001,1245,21042.7107795043,18451.4718612416,23997.8512435089
BD_0000001,1246,19033.2837920985,16689.4894862593,21706.229672802
